"date","indicator","count"
2020-04-22,"CO_GABed_C19_Sus",51
2020-04-22,"CO_GABed_NonC19",378
2020-04-22,"CO_GABed_Spare",606
2020-04-22,"CO_IVBed_C19_Con",34
2020-04-22,"CO_IVBed_C19_Sus",3
2020-04-22,"CO_IVBed_NonC19",7
2020-04-22,"CO_IVBed_Spare",26
2020-04-23,"CO_GABed_C19_Con",174
2020-04-23,"CO_GABed_C19_Sus",67
2020-04-23,"CO_GABed_NonC19",443
2020-04-23,"CO_GABed_Spare",776
2020-04-23,"CO_IVBed_C19_Con",30
2020-04-23,"CO_IVBed_C19_Sus",3
2020-04-23,"CO_IVBed_NonC19",6
2020-04-23,"CO_IVBed_Spare",31
2020-04-24,"CO_GABed_C19_Con",163
2020-04-24,"CO_GABed_C19_Sus",45
2020-04-24,"CO_GABed_NonC19",494
2020-04-24,"CO_GABed_Spare",758
2020-04-24,"CO_IVBed_C19_Con",28
2020-04-24,"CO_IVBed_C19_Sus",0
2020-04-24,"CO_IVBed_NonC19",9
2020-04-24,"CO_IVBed_Spare",33
2020-04-25,"CO_GABed_C19_Con",156
2020-04-25,"CO_GABed_C19_Sus",94
2020-04-25,"CO_GABed_NonC19",418
2020-04-25,"CO_GABed_Spare",792
2020-04-25,"CO_IVBed_C19_Con",27
2020-04-25,"CO_IVBed_C19_Sus",3
2020-04-25,"CO_IVBed_NonC19",9
2020-04-25,"CO_IVBed_Spare",31
2020-04-26,"CO_GABed_C19_Con",167
2020-04-26,"CO_GABed_C19_Sus",62
2020-04-26,"CO_GABed_NonC19",481
2020-04-26,"CO_GABed_Spare",750
2020-04-26,"CO_IVBed_C19_Con",25
2020-04-26,"CO_IVBed_C19_Sus",1
2020-04-26,"CO_IVBed_NonC19",11
2020-04-26,"CO_IVBed_Spare",33
2020-04-27,"CO_GABed_C19_Con",163
2020-04-27,"CO_GABed_C19_Sus",69
2020-04-27,"CO_GABed_NonC19",466
2020-04-27,"CO_GABed_Spare",766
2020-04-27,"CO_IVBed_C19_Con",25
2020-04-27,"CO_IVBed_C19_Sus",0
2020-04-27,"CO_IVBed_NonC19",12
2020-04-27,"CO_IVBed_Spare",46
2020-04-28,"CO_GABed_C19_Con",156
2020-04-28,"CO_GABed_C19_Sus",57
2020-04-28,"CO_GABed_NonC19",490
2020-04-28,"CO_GABed_Spare",761
2020-04-28,"CO_IVBed_C19_Con",24
2020-04-28,"CO_IVBed_C19_Sus",6
2020-04-28,"CO_IVBed_NonC19",7
2020-04-28,"CO_IVBed_Spare",46
2020-04-29,"CO_GABed_C19_Con",154
2020-04-29,"CO_GABed_C19_Sus",37
2020-04-29,"CO_GABed_NonC19",505
2020-04-29,"CO_GABed_Spare",768
2020-04-29,"CO_IVBed_C19_Con",20
2020-04-29,"CO_IVBed_C19_Sus",2
2020-04-29,"CO_IVBed_NonC19",9
2020-04-29,"CO_IVBed_Spare",52
2020-04-30,"CO_GABed_C19_Con",152
2020-04-30,"CO_GABed_C19_Sus",46
2020-04-30,"CO_GABed_NonC19",472
2020-04-30,"CO_GABed_Spare",794
2020-04-30,"CO_IVBed_C19_Con",18
2020-04-30,"CO_IVBed_C19_Sus",1
2020-04-30,"CO_IVBed_NonC19",9
2020-04-30,"CO_IVBed_Spare",55
2020-05-01,"CO_GABed_C19_Con",152
2020-05-01,"CO_GABed_C19_Sus",44
2020-05-01,"CO_GABed_NonC19",476
2020-05-01,"CO_GABed_Spare",792
2020-05-01,"CO_IVBed_C19_Con",19
2020-05-01,"CO_IVBed_C19_Sus",0
2020-05-01,"CO_IVBed_NonC19",8
2020-05-01,"CO_IVBed_Spare",56
2020-05-02,"CO_GABed_C19_Con",147
2020-05-02,"CO_GABed_C19_Sus",43
2020-05-02,"CO_GABed_NonC19",487
2020-05-02,"CO_GABed_Spare",787
2020-05-02,"CO_IVBed_C19_Con",16
2020-05-02,"CO_IVBed_C19_Sus",2
2020-05-02,"CO_IVBed_NonC19",9
2020-05-02,"CO_IVBed_Spare",56
2020-05-03,"CO_GABed_C19_Con",152
2020-05-03,"CO_GABed_C19_Sus",34
2020-05-03,"CO_GABed_NonC19",490
2020-05-03,"CO_GABed_Spare",788
2020-05-03,"CO_IVBed_C19_Con",15
2020-05-03,"CO_IVBed_C19_Sus",3
2020-05-03,"CO_IVBed_NonC19",9
2020-05-03,"CO_IVBed_Spare",56
2020-05-04,"CO_GABed_C19_Con",155
2020-05-04,"CO_GABed_C19_Sus",29
2020-05-04,"CO_GABed_NonC19",561
2020-05-04,"CO_GABed_Spare",719
2020-05-04,"CO_IVBed_C19_Con",18
2020-05-04,"CO_IVBed_C19_Sus",2
