"date","health_board","percent_beds_in_use_covid"
2020-04-23,"Aneurin Bevan University Health Board",0.179084967320261
2020-04-23,"Powys Teaching Health Board",0.0821917808219178
2020-04-23,"Velindre University NHS Trust",0.0666666666666667
2020-04-23,"Wales",0.156484962406015
2020-04-24,"Betsi Cadwaladr University Health Board",0.151933701657459
2020-04-24,"Hywel Dda University Health Board",0.0995073891625616
2020-04-24,"Abertawe Bro Morgannwg University Health Board",0.230941704035874
2020-04-24,"Cardiff and Vale University Health Board",0.135263157894737
2020-04-24,"Cwm Taf University Health Board",0.182506307821699
2020-04-24,"Aneurin Bevan University Health Board",0.154248366013072
2020-04-24,"Powys Teaching Health Board",0.123287671232877
2020-04-24,"Velindre University NHS Trust",0.0666666666666667
2020-04-24,"Wales",0.154135338345865
2020-04-25,"Betsi Cadwaladr University Health Board",0.160854893138358
2020-04-25,"Hywel Dda University Health Board",0.0916256157635468
2020-04-25,"Abertawe Bro Morgannwg University Health Board",0.214285714285714
2020-04-25,"Cardiff and Vale University Health Board",0.129122155132373
2020-04-25,"Cwm Taf University Health Board",0.161209068010076
2020-04-25,"Aneurin Bevan University Health Board",0.183006535947712
2020-04-25,"Powys Teaching Health Board",0.143835616438356
2020-04-25,"Velindre University NHS Trust",0.0666666666666667
2020-04-25,"Wales",0.153890094824632
2020-04-26,"Betsi Cadwaladr University Health Board",0.165193370165746
2020-04-26,"Hywel Dda University Health Board",0.0817733990147783
2020-04-26,"Abertawe Bro Morgannwg University Health Board",0.216097023153252
2020-04-26,"Cardiff and Vale University Health Board",0.125870877844868
2020-04-26,"Cwm Taf University Health Board",0.153781512605042
2020-04-26,"Aneurin Bevan University Health Board",0.166666666666667
2020-04-26,"Powys Teaching Health Board",0.150684931506849
2020-04-26,"Velindre University NHS Trust",0.1
2020-04-26,"Wales",0.149413506434347
2020-04-27,"Betsi Cadwaladr University Health Board",0.167315175097276
2020-04-27,"Hywel Dda University Health Board",0.0890774125132556
2020-04-27,"Abertawe Bro Morgannwg University Health Board",0.206509539842873
2020-04-27,"Cardiff and Vale University Health Board",0.132373432419879
2020-04-27,"Cwm Taf University Health Board",0.147899159663866
