"date","indicator","count"
2020-05-05,"CO_IVBed_Spare",40
2020-05-06,"CO_GABed_C19_Con",175
2020-05-06,"CO_GABed_C19_Sus",120
2020-05-06,"CO_GABed_NonC19",860
2020-05-06,"CO_GABed_Spare",599
2020-05-06,"CO_IVBed_C19_Con",13
2020-05-06,"CO_IVBed_C19_Sus",6
2020-05-06,"CO_IVBed_NonC19",6
2020-05-06,"CO_IVBed_Spare",41
2020-05-07,"CO_GABed_C19_Con",198
2020-05-07,"CO_GABed_C19_Sus",146
2020-05-07,"CO_GABed_NonC19",894
2020-05-07,"CO_GABed_Spare",507
2020-05-07,"CO_IVBed_C19_Con",11
2020-05-07,"CO_IVBed_C19_Sus",11
2020-05-07,"CO_IVBed_NonC19",8
2020-05-07,"CO_IVBed_Spare",36
2020-05-08,"CO_GABed_C19_Con",180
2020-05-08,"CO_GABed_C19_Sus",196
2020-05-08,"CO_GABed_NonC19",890
2020-05-08,"CO_GABed_Spare",501
2020-05-08,"CO_IVBed_C19_Con",11
2020-05-08,"CO_IVBed_C19_Sus",9
2020-05-08,"CO_IVBed_NonC19",6
2020-05-08,"CO_IVBed_Spare",40
2020-05-09,"CO_GABed_C19_Con",205
2020-05-09,"CO_GABed_C19_Sus",143
2020-05-09,"CO_GABed_NonC19",916
2020-05-09,"CO_GABed_Spare",509
2020-05-09,"CO_IVBed_C19_Con",10
2020-05-09,"CO_IVBed_C19_Sus",4
2020-05-09,"CO_IVBed_NonC19",8
2020-05-09,"CO_IVBed_Spare",44
2020-05-10,"CO_GABed_C19_Con",208
2020-05-10,"CO_GABed_C19_Sus",118
2020-05-10,"CO_GABed_NonC19",921
2020-05-10,"CO_GABed_Spare",534
2020-05-10,"CO_IVBed_C19_Con",10
2020-05-10,"CO_IVBed_C19_Sus",8
2020-05-10,"CO_IVBed_NonC19",8
2020-05-10,"CO_IVBed_Spare",40
2020-05-11,"CO_GABed_C19_Con",215
2020-05-11,"CO_GABed_C19_Sus",85
2020-05-11,"CO_GABed_NonC19",962
2020-05-11,"CO_GABed_Spare",503
2020-05-11,"CO_IVBed_C19_Con",13
2020-05-11,"CO_IVBed_C19_Sus",4
2020-05-11,"CO_IVBed_NonC19",9
2020-05-11,"CO_IVBed_Spare",40
2020-05-12,"CO_GABed_C19_Con",217
2020-05-12,"CO_GABed_C19_Sus",92
2020-05-12,"CO_GABed_NonC19",943
2020-05-12,"CO_GABed_Spare",524
2020-05-12,"CO_IVBed_C19_Con",11
2020-05-12,"CO_IVBed_C19_Sus",4
2020-05-12,"CO_IVBed_NonC19",10
2020-05-12,"CO_IVBed_Spare",41
2020-05-13,"CO_GABed_C19_Con",164
2020-05-13,"CO_GABed_C19_Sus",94
2020-05-13,"CO_GABed_NonC19",857
2020-05-13,"CO_GABed_Spare",520
2020-05-13,"CO_IVBed_C19_Con",10
2020-05-13,"CO_IVBed_C19_Sus",5
2020-05-13,"CO_IVBed_NonC19",9
2020-05-13,"CO_IVBed_Spare",42
2020-05-14,"CO_GABed_C19_Con",193
2020-05-14,"CO_GABed_C19_Sus",102
2020-05-14,"CO_GABed_NonC19",913
2020-05-14,"CO_GABed_Spare",561
2020-05-14,"CO_IVBed_C19_Con",8
2020-05-14,"CO_IVBed_C19_Sus",5
2020-05-14,"CO_IVBed_NonC19",9
