"date","health_board","lockdown_status","admission_type","count"
2020-05-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",79
2020-05-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",88
2020-05-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",17
2020-05-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",89
2020-05-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",106
2020-05-22,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",6
2020-05-22,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",58
2020-05-22,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",64
2020-05-23,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",12
2020-05-23,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",61
2020-05-23,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",73
2020-05-24,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",12
2020-05-24,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",51
2020-05-24,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",63
2020-05-25,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",12
2020-05-25,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",54
2020-05-25,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",66
2020-05-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",10
2020-05-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",51
2020-05-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",61
2020-05-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",18
2020-05-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",61
2020-05-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",79
2020-05-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",14
2020-05-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",74
2020-05-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",88
2020-05-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",13
2020-05-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",77
2020-05-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",90
2020-05-30,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",16
2020-05-30,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",77
2020-05-30,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",93
2020-05-31,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",9
2020-05-31,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",42
