"","date","health_board","percent_beds_in_use_covid"
"78",2020-04-10,"Aneurin Bevan University Health Board",0.235004108463435
"79",2020-04-10,"Velindre University NHS Trust",0.1
"80",2020-04-10,"Wales",0.18414707655214
"81",2020-04-11,"Betsi Cadwaladr University Health Board",0.11864406779661
"82",2020-04-11,"Hywel Dda University Health Board",0.125576036866359
"83",2020-04-11,"Abertawe Bro Morgannwg University Health Board",0.25121359223301
"84",2020-04-11,"Cardiff and Vale University Health Board",0.171388101983003
"85",2020-04-11,"Cwm Taf University Health Board",0.203629032258065
"86",2020-04-11,"Aneurin Bevan University Health Board",0.238290879211175
"87",2020-04-11,"Velindre University NHS Trust",0.133333333333333
"88",2020-04-11,"Wales",0.181900316217437
"89",2020-04-12,"Betsi Cadwaladr University Health Board",0.134052388289676
"90",2020-04-12,"Hywel Dda University Health Board",0.120967741935484
"91",2020-04-12,"Abertawe Bro Morgannwg University Health Board",0.268235294117647
"92",2020-04-12,"Cardiff and Vale University Health Board",0.179886685552408
"93",2020-04-12,"Cwm Taf University Health Board",0.202620967741935
"94",2020-04-12,"Aneurin Bevan University Health Board",0.245569620253165
"95",2020-04-12,"Velindre University NHS Trust",0.133333333333333
"96",2020-04-12,"Wales",0.189449886963075
"97",2020-04-13,"Betsi Cadwaladr University Health Board",0.12557781201849
"98",2020-04-13,"Hywel Dda University Health Board",0.115207373271889
"99",2020-04-13,"Abertawe Bro Morgannwg University Health Board",0.30510752688172
"100",2020-04-13,"Cardiff and Vale University Health Board",0.179178470254958
"101",2020-04-13,"Cwm Taf University Health Board",0.198581560283688
"102",2020-04-13,"Aneurin Bevan University Health Board",0.200984413453651
"103",2020-04-13,"Velindre University NHS Trust",0.1
"104",2020-04-13,"Wales",0.181000304971028
"105",2020-04-14,"Betsi Cadwaladr University Health Board",0.141855027279813
"106",2020-04-14,"Hywel Dda University Health Board",0.111486486486486
"107",2020-04-14,"Abertawe Bro Morgannwg University Health Board",0.294723294723295
"108",2020-04-14,"Cardiff and Vale University Health Board",0.169971671388102
"109",2020-04-14,"Cwm Taf University Health Board",0.196157735085945
"110",2020-04-14,"Aneurin Bevan University Health Board",0.199017199017199
"111",2020-04-14,"Velindre University NHS Trust",0.133333333333333
"112",2020-04-14,"Wales",0.180454545454545
"113",2020-04-15,"Betsi Cadwaladr University Health Board",0.1415313225058
"114",2020-04-15,"Hywel Dda University Health Board",0.114155251141553
"115",2020-04-15,"Abertawe Bro Morgannwg University Health Board",0.30609597924773
"116",2020-04-15,"Cardiff and Vale University Health Board",0.175637393767705
"117",2020-04-15,"Cwm Taf University Health Board",0.187436676798379
"118",2020-04-15,"Aneurin Bevan University Health Board",0.207066557107642
"119",2020-04-15,"Velindre University NHS Trust",0.166666666666667
"120",2020-04-15,"Wales",0.183571211661099
"121",2020-04-16,"Betsi Cadwaladr University Health Board",0.14340490797546
"122",2020-04-16,"Hywel Dda University Health Board",0.118101545253863
"123",2020-04-16,"Abertawe Bro Morgannwg University Health Board",0.325129533678756
"124",2020-04-16,"Cardiff and Vale University Health Board",0.170679886685552
"125",2020-04-16,"Cwm Taf University Health Board",0.182370820668693
"126",2020-04-16,"Aneurin Bevan University Health Board",0.208709942481512
"127",2020-04-16,"Velindre University NHS Trust",0.233333333333333
"128",2020-04-16,"Wales",0.185123717561859
"129",2020-04-17,"Betsi Cadwaladr University Health Board",0.165511932255581
"130",2020-04-17,"Hywel Dda University Health Board",0.124287343215507
"131",2020-04-17,"Abertawe Bro Morgannwg University Health Board",0.30012936610608
"132",2020-04-17,"Cardiff and Vale University Health Board",0.167847025495751
"133",2020-04-17,"Cwm Taf University Health Board",0.188449848024316
"134",2020-04-17,"Aneurin Bevan University Health Board",0.20082304526749
"135",2020-04-17,"Velindre University NHS Trust",0.133333333333333
"136",2020-04-17,"Wales",0.186106476566055
"137",2020-04-18,"Betsi Cadwaladr University Health Board",0.189668465690054
"138",2020-04-18,"Hywel Dda University Health Board",0.120133481646274
"139",2020-04-18,"Abertawe Bro Morgannwg University Health Board",0.297817715019255
"140",2020-04-18,"Cardiff and Vale University Health Board",0.169971671388102
"141",2020-04-18,"Cwm Taf University Health Board",0.183419689119171
"142",2020-04-18,"Aneurin Bevan University Health Board",0.2
"143",2020-04-18,"Velindre University NHS Trust",0.1
"144",2020-04-18,"Wales",0.189328482643626
"145",2020-04-19,"Betsi Cadwaladr University Health Board",0.17887432536623
"146",2020-04-19,"Hywel Dda University Health Board",0.113459399332592
